"DateTime","TagName","Value","Type"
"26/11/2025 15:07:41","FIn1P_T1_ConsoMasse_ISO_Tot","12220,236328125","LOT_SNAP"
"26/11/2025 15:07:41","FIn1P_T1_ConsoMasse_PO_Tot","18073,728515625","LOT_SNAP"
"26/11/2025 15:07:41","FIn1P_T2_ConsoMasse_ISO_Tot","12141,2783203125","LOT_SNAP"
"26/11/2025 15:07:41","FIn1P_T2_ConsoMasse_PO_Tot","17995,802734375","LOT_SNAP"
"26/11/2025 15:07:41","FIn2P_T1_ConsoMasse_ISO_Tot","12124,423828125","LOT_SNAP"
"26/11/2025 15:07:41","FIn2P_T1_ConsoMasse_PO_Tot","17896,861328125","LOT_SNAP"
"26/11/2025 15:07:41","FIn2P_T2_ConsoMasse_ISO_Tot","12069,9716796875","LOT_SNAP"
"26/11/2025 15:07:41","FIn2P_T2_ConsoMasse_PO_Tot","17884,076171875","LOT_SNAP"
"26/11/2025 15:07:41","JInjP_T1_ConsoMasse_ISO_Tot","11646,7548828125","LOT_SNAP"
"26/11/2025 15:07:41","JInjP_T1_ConsoMasse_PO_Tot","17109,970703125","LOT_SNAP"
"26/11/2025 15:07:41","JInjP_T2_ConsoMasse_ISO_Tot","11610,865234375","LOT_SNAP"
"26/11/2025 15:07:41","JInjP_T2_ConsoMasse_PO_Tot","17299,025390625","LOT_SNAP"
"26/11/2025 20:17:55","CIn1P_T1_ConsoMasse_ISO_Tot","60461,51171875","LOT_SNAP"
"26/11/2025 20:17:55","CIn1P_T1_ConsoMasse_PO_Tot","89075,65625","LOT_SNAP"
"26/11/2025 20:17:55","CIn1P_T2_ConsoMasse_ISO_Tot","60487,6953125","LOT_SNAP"
"26/11/2025 20:17:55","CIn1P_T2_ConsoMasse_PO_Tot","88993,3203125","LOT_SNAP"
"26/11/2025 21:30:00","CIn1P_T1_ConsoMasse_ISO_Tot","68751,7578125","SHIFT_MAX"
"26/11/2025 21:30:00","CIn1P_T1_ConsoMasse_PO_Tot","101384,6875","SHIFT_MAX"
"26/11/2025 21:30:00","CIn1P_T2_ConsoMasse_ISO_Tot","68781,53125","SHIFT_MAX"
"26/11/2025 21:30:00","CIn1P_T2_ConsoMasse_PO_Tot","101290,9765625","SHIFT_MAX"
"26/11/2025 21:30:00","FIn1P_T1_ConsoMasse_ISO_Tot","59382,39453125","SHIFT_MAX"
"26/11/2025 21:30:00","FIn1P_T1_ConsoMasse_PO_Tot","88273,1953125","SHIFT_MAX"
"26/11/2025 21:30:00","FIn1P_T2_ConsoMasse_ISO_Tot","58998,7109375","SHIFT_MAX"
"26/11/2025 21:30:00","FIn1P_T2_ConsoMasse_PO_Tot","87892,59375","SHIFT_MAX"
"26/11/2025 21:30:00","FIn2P_T1_ConsoMasse_ISO_Tot","59284,20703125","SHIFT_MAX"
"26/11/2025 21:30:00","FIn2P_T1_ConsoMasse_PO_Tot","87826,7734375","SHIFT_MAX"
"26/11/2025 21:30:00","FIn2P_T2_ConsoMasse_ISO_Tot","58839,3046875","SHIFT_MAX"
"26/11/2025 21:30:00","FIn2P_T2_ConsoMasse_PO_Tot","87873,0234375","SHIFT_MAX"
"26/11/2025 21:30:00","JInjP_T1_ConsoMasse_ISO_Tot","65032,3515625","SHIFT_MAX"
"26/11/2025 21:30:00","JInjP_T1_ConsoMasse_PO_Tot","95466,3359375","SHIFT_MAX"
"26/11/2025 21:30:00","JInjP_T2_ConsoMasse_ISO_Tot","64411,80078125","SHIFT_MAX"
"26/11/2025 21:30:00","JInjP_T2_ConsoMasse_PO_Tot","95459,609375","SHIFT_MAX"
"26/11/2025 21:30:00","LDIn1P_T1_ConsoMasse_ISO_Tot","68058,75","SHIFT_MAX"
"26/11/2025 21:30:00","LDIn1P_T1_ConsoMasse_PO_Tot","99066,3203125","SHIFT_MAX"
"26/11/2025 21:30:00","LDIn1P_T2_ConsoMasse_ISO_Tot","68029,828125","SHIFT_MAX"
"26/11/2025 21:30:00","LDIn1P_T2_ConsoMasse_PO_Tot","100194,3359375","SHIFT_MAX"
"26/11/2025 21:30:00","LDIn2P_T1_ConsoMasse_ISO_Tot","65605,40625","SHIFT_MAX"
"26/11/2025 21:30:00","LDIn2P_T1_ConsoMasse_PO_Tot","97377,546875","SHIFT_MAX"
"26/11/2025 21:30:00","LDIn2P_T2_ConsoMasse_ISO_Tot","65474,05078125","SHIFT_MAX"
"26/11/2025 21:30:00","LDIn2P_T2_ConsoMasse_PO_Tot","96758,9296875","SHIFT_MAX"
"27/11/2025 00:03:51","LDIn1P_T1_ConsoMasse_ISO_Tot","19764,529296875","LOT_SNAP"
"27/11/2025 00:03:51","LDIn1P_T1_ConsoMasse_PO_Tot","28769,25","LOT_SNAP"
"27/11/2025 00:03:51","LDIn1P_T2_ConsoMasse_ISO_Tot","19756,130859375","LOT_SNAP"
"27/11/2025 00:03:51","LDIn1P_T2_ConsoMasse_PO_Tot","29096,830078125","LOT_SNAP"
"27/11/2025 00:03:51","LDIn2P_T1_ConsoMasse_ISO_Tot","20933,029296875","LOT_SNAP"
"27/11/2025 00:03:51","LDIn2P_T1_ConsoMasse_PO_Tot","30731,78125","LOT_SNAP"
"27/11/2025 00:03:51","LDIn2P_T2_ConsoMasse_ISO_Tot","20891,119140625","LOT_SNAP"
"27/11/2025 00:03:51","LDIn2P_T2_ConsoMasse_PO_Tot","30536,546875","LOT_SNAP"
"27/11/2025 02:29:17","FIn1P_T1_ConsoMasse_ISO_Tot","36801,6328125","LOT_SNAP"
"27/11/2025 02:29:17","FIn1P_T1_ConsoMasse_PO_Tot","54876,25","LOT_SNAP"
"27/11/2025 02:29:17","FIn1P_T2_ConsoMasse_ISO_Tot","36563,84765625","LOT_SNAP"
"27/11/2025 02:29:17","FIn1P_T2_ConsoMasse_PO_Tot","54639,64453125","LOT_SNAP"
"27/11/2025 02:29:17","FIn2P_T1_ConsoMasse_ISO_Tot","34747,78125","LOT_SNAP"
"27/11/2025 02:29:17","FIn2P_T1_ConsoMasse_PO_Tot","51765,6953125","LOT_SNAP"
"27/11/2025 02:29:17","FIn2P_T2_ConsoMasse_ISO_Tot","34487,015625","LOT_SNAP"
"27/11/2025 02:29:17","FIn2P_T2_ConsoMasse_PO_Tot","51792,95703125","LOT_SNAP"
